id;CustomerName;CustomerAddress;idState;id2;RegTime;RegisterTime;Sum1;Sum2,,
1;Griffith Paving and Sealcoatin;talend@apres91;9;41;03/11/2006 09:20;2001-01-17 06:26:40.000;67852;61521.4852,,
2;Air Mexico;511 Maple Ave.  Apt. 1B;35;5;19/11/2004 15:48;2002-06-07 09:40:00.000;88792;15434.1000,,
3;Childress Child Day Care;662 Lyons Circle;1;28;16/02/2005 08:27;1990-04-01 21:00:00.000;35340;17856.8818,,
4;Facelift Kitchen and Bath;unknown;0;15;22/08/2002 09:55;1972-04-23 18:00:00.000;6097.;55560.2387,,
5;Terrinni & Son Auto and Truck;770 Exmoor Rd.;0;9;28/06/2001 09:15;1982-04-19 10:26:40.000;5146.;39098.1148,,
6;Kermit the Pet Shop;1860 Parkside Ln.;28;15;17/08/2003 10:07;2006-05-27 17:00:00.000;16087;29924.9294,,
7;Tub's Furniture Store;807 Old Trail Rd.;15;9;27/08/2000 03:13;1970-03-27 23:08:16.000;53216;65352.5674,,
8;Toggle & Myerson Ltd;618 Sheriden rd.;9;15;24/03/2006 23:07;2005-08-02 01:26:40.000;74168;77920.6026,,
9;Childress Child Day Care;788 Tennyson Ave.;12;33;10/09/2001 06:33;1994-05-03 11:13:20.000;92176;56844.1263,,
10;Elle Hypnosis and Therapy Cent;2032 Northbrook Ct.;1;7;11/01/1977 03:07;1975-06-10 20:20:00.000;48498;45844.9148,,
11;Lennox Air Pollution Control;4522 N. Greenview Apt. 1B;48;35;20/07/1987 07:13;1983-02-26 17:08:16.000;23992;93520.1160,,
12;Keyth Contracting and Repair;1547 Knolwood Rd.;25;39;12/01/2000 15:33;2001-09-10 11:01:36.000;27786;46530.0991,,
13;Park District Of America;2678 Sheridan Rd.;46;41;08/06/2003 11:15;2005-10-02 00:34:56.000;5448.;29062.8166,,
14;Nirabi Auto Service;1915 Lewis Ln.  Apt 13;8;5;19/06/2002 07:15;1997-02-18 21:06:40.000;23220;43086.6464,,
15;Darcy Frame and Matting Servic;1633 McGovern place;21;28;20/10/1987 12:22;2001-01-07 20:40:00.000;46096;31014.8296,,
16;Glenwood Credit Union;511 Maple Ave.  Apt. 1B;46;15;17/07/2000 17:27;2003-12-03 19:08:16.000;90440;31684.7929,,
17;Gourmet the Frog;788 Tennyson Ave.;1;9;07/09/2002 03:55;1983-01-31 22:26:40.000;67680;62038.7700,,
18;Acturial Enterprises Ltd.;3385 University Ave.;34;12;07/04/2001 10:42;2004-05-31 15:00:00.000;45292;17008.7659,,
19;Salt & Pepper Catering Service;965 Marion Place Apt. 65C;44;33;20/12/2006 10:02;2006-01-24 10:53:20.000;13458;52120.6184,,
20;Rythmics Ltd.;1875 Roger Williams Ave.;22;48;05/01/2005 16:27;2000-03-31 10:53:20.000;70685;28463.9495,,
21;Parkway Auto Body;1859 Green Bay Rd.;27;25;12/02/1974 11:20;2006-06-09 01:28:16.000;62605;8387.3210,,
22;Futoons Cartoons Emporium;1486 Old Deerfield Rd.;24;46;08/10/2000 23:00;1997-01-12 00:01:36.000;73220;51850.6979,,
23;Glenn Oaks Office Supplies;1882 St. Johns;10;8;03/09/2000 10:47;2003-09-16 03:14:56.000;86100;54079.8900,,
24;Garfield Appliance Service;3150 Skokie Valley Rd.;33;21;26/06/2001 00:47;2004-10-31 05:20:00.000;74224;85912.7234,,
25;New Dehli Auto Exchange;1957 Huntington Ave.;49;46;26/05/2005 10:33;1978-10-27 02:33:20.000;50903;82453.0231,,
