id;CustomerName;CustomerAddress;State
80;Glenwood Credit Union;2870 Skokie Rd.;Massachusetts
81;Glassman & Stone;654 Walnut Rd.;Maine
82;Yale Remins Temp Agency;628 Orwenstensia;Mississippi
83;Dean Barnett Furniture Repair;2922 Twin Oaks Drive;Louisiana
84;Eva Galler Galleries Inc.;1101 Deerfield Place;Delaware
85;Shaggy's Grooming Services;1270 Linden Ave.;Colorado
86;Bako Delicatessen;628 Orwenstensia;Maine
87;Cradle the Call;1155 Ridgewood Drive;Nevada
88;Truck-X Muffler Repair;45 South Deer Creek Drive;Maine
89;Deer Lake Inn;1 Twin Oaks Place;Michigan
90;Crosstracks Car Wash;505 N. Frances St.;North Carolina
91;Masterlands Cleaning;313 Grove Ave.;North Dakota
92;Shaggy's Grooming Services;3160 Summit Ave.;Connecticut
93;North West Gas Co.;445 Park Ave.;New Jersey
94;Car Suite Cleaners;120 high St.;Colorado
95;Cutter Lawn Mower Repair;929 Brittany Ave.;Alaska
96;Doerner's Awnings and Canopies;616 Cobblestone Cir.;Montana
97;Yale Remins Temp Agency;245 Oakridge Ave.;Maine
98;Nyman Interior Design;1486 Oakwood;Rhode Island
99;Shaggy's Grooming Services;1077 Court Ave.;New Hampshire
100;Johnson, Erico & Co CPA's;2632 Prarie Ln.;Utah
101;Bill's Dive Shop;872 Virginia Rd.;Connecticut
102;Bill's Dive Shop;245 Oakridge Ave.;North Dakota
103;Air Mexico;12 Skokie Valley Rd.;New Mexico
104;Metro Appliance Service;2220 Grant Blvd.;Rhode Island
105;Caranisco Homes;750 Homewood Ave.;Kansas
106;Caranisco Homes;1860 Parkside Ln.;South Carolina
107;Camp Oconomowoc;4763 Blackhawk Rd.;Missouri
108;Air India;135 Lakewood place;Florida
109;Lickmen Restoration;1912 Old Briar Lane #2;Minnesota
110;K L Consulting;445 Park Ave.;Texas
111;DBN Bank;242 Ashland Ave.;Maryland
112;Hart Corporation;1777 balsamic Ave.;South Dakota
113;Hoffman Printing Center;430 Oakland Drive;Utah
114;Pasifico Inc.;1233 Arbor Rd.;Vermont
115;Auto Interior Carpeting Compan;844 Spruce St.;West Virginia
116;Trapezoid Studios;54 Lakeview Terrace;Colorado
117;Pac Builders;1270 Linden Ave.;Hawaii
118;Dapper's Antiques;2024 St.Johns Ave.;Maine
119;Tub's Furniture Store;1547 Vine;New Mexico
120;Kermit the Pet Shop;1235 Easton Rd.;Arizona
121;First National Bank of Ottowa;465 Stratford Rd.;California
122;Terrinni & Son Auto and Truck;1859 Green Bay Rd.;Idaho
123;Esmarda Chemical Manufacturers;10 Marquette Rd.;Arkansas
124;First National Bank of Ottowa;2632 Prarie Ln.;Utah
125;Facelift Kitchen and Bath;3100 Trailer Way;Washington
126;Nina's Snow Plowing;302-A Crestwood Village Rd.;Ohio
127;Flinn Mosquito and Pest Contro;1859 Green Bay Rd.;Texas
128;Resnick DDS;302-A Crestwood Village Rd.;Missouri
129;Air Mexico;1535 Knollwood Drive;Indiana
130;Gordon & Son Brockerage Ltd.;899 Harvard Ct;New Mexico
131;Griffith Paving and Sealcoatin;2922 Twin Oaks Drive;Michigan
132;AAA Daniels Antiques;600 Central Ave;Iowa
133;Smith Communications Inc.;750 Homewood Ave.;New Mexico
134;Myers Chocolates and Confectio;2644 Princeton Ln.;Massachusetts
135;Masterlands Cleaning;2224 Sherman Rd.;Montana
136;Futoons Cartoons Emporium;465 Stratford Rd.;Missouri
137;Block Boats and Lures;1858 Balsam Way;Washington
138;Vanity Town;302-A Crestwood Village Rd.;Connecticut
139;Morton Roofing and Siding;1658 Second St.;North Carolina
140;Caranisco Homes;3344 Beachwood Ln.;Iowa
142;Hart Corporation;1658 Second St.;Georgia
143;Nel Video Productions;1715 Chicago Ave.;Maryland
144;Maintence Services of Maine;1658 Second St.;Ohio
146;Glenn Oaks Office Supplies;746 Judson Place;Colorado
147;Funnyface Amusement Games;2220 Grant Blvd.;Connecticut
148;Highland Lanes;224  Highwood Ave.;Ohio
149;Marcy Elaine Bakery;1750 Lily Court;Vermont
150;janice Mann Accounting Service;3181 Barkwood Ct.;Hawaii
151;Lickmen Restoration;1875 Roger Williams Ave.;Florida
152;Moveit Motercycle Service;969 Saxony Drive;South Dakota
153;Cradle the Call;785 Highland place;Alabama
154;Kapp Camera and Video;1619 Judson Ave. Apt #34B;Oregon
155;Marcy Elaine Bakery;430 Oakland Drive;Montana
156;Ernie's Foriegn Car Service;5518 Madison St.;Virginia
157;Myles Building Consultants;367Bluebird Terr.;South Dakota
158;Cotton Thumb Ltd.;433 Burton Ave.;Louisiana
159;Lickmen Restoration;1101 Deerfield Place;Utah
160;Marks, Marks, and Kaplan Ltd.;1019 Deerfield Rd.;Nevada
161;Morton Roofing and Siding;313 Grove Ave.;Montana
162;P K M Packaging Supply;1077 Court Ave.;Idaho
163;Trapezoid Studios;14836 W. River Oaks Dr.;Ohio
164;Salt & Pepper Catering Service;770 Exmoor Rd.;Arizona
165;Darcy Frame and Matting Servic;42 Valley Rd.;Oregon
166;Jay's Cabinet Company;1 Twin Oaks Place;Wisconsin
167;Marks, Marks, and Kaplan Ltd.;770 Exmoor Rd.;New Mexico
168;Camp Oconomowoc;1245 Eastwood;Florida
169;Innman Paint and Glass;673 Calais Drive;California
170;Kermit the Pet Shop;1482 Concorde Circle;Kansas
171;Pasifico Inc.;1235 Easton Rd.;Connecticut
172;Block Boats and Lures;618 Sheriden rd.;Alabama
173;Myles Building Consultants;1077 Court Ave.;Hawaii
174;Childress Child Day Care;1882 St. Johns;Alabama
175;Parties Galore Golf Course;857 Woodbine Rd;North Carolina
176;Facelift Kitchen and Bath;3150 Skokie Valley Rd.;Connecticut
177;Esmarda Chemical Manufacturers;1907 S. Prospect Ave.;Nebraska
178;Pivot Point College;2148 Eastview Dr.;New Mexico
179;Smith & Wesson Militia;1839 McCraren Rd.;New Mexico
180;Kapp Camera and Video;2220 Grant Blvd.;Iowa
181;Ampro Office Team Ltd.;844 Spruce St.;New Hampshire
182;Hart Corporation;1701 W. Mellody Rd.;Colorado
183;AAA Daniels Antiques;511 Hill;Illinois
184;Palmer Golf Supplies;1860 Parkside Ln.;New York
185;Mail Boxes Et. Al.;22 Clay rd.;West Virginia
186;Highland Woods City Hall;2632 Prarie Ln.;New Hampshire
187;Meonits & Mogogni Inc.;844 Spruce St.;Wyoming
188;Doerner's Awnings and Canopies;618 Sheriden rd.;Kansas
189;Keyth Contracting and Repair;266 Green Bay Rd.;Idaho
190;Highland Heights Gift Shop;465 Stratford Rd.;Tennessee
191;Auto Interior Carpeting Compan;22 Clay rd.;Iowa
192;Portugal, Liddy, & Son Ltd.;629 Kincaid Ave.;Idaho
193;Hilco Auto Body;54 Lakeview Terrace;Iowa
194;Morton Roofing and Siding;1912 Old Briar Lane #2;Connecticut
195;Schnitzer Denist College;628 Orwenstensia;New Jersey
196;Morgan Construction Co;4259 W. Lake Ave.;Minnesota
198;Bee Line Publishing;671 Blackstone Ave.;Connecticut
199;Transformation Enterprises;669 Kikaid;Delaware
200;Cradle the Call;550 Sheridan;New Jersey
201;Nel Video Productions;1270 Linden Ave.;Connecticut
202;Darcy Frame and Matting Servic;220 Vine Ave.;California
203;Green Bay Travel Services;1444 Chantilly Ln.;Pennsylvania
204;Nyman Interior Design;456 Groverland Ave.;West Virginia
205;Air France;42 Valley Rd.;Florida
206;Dependable Plumbing and Sewer;4763 Blackhawk Rd.;Mississippi
207;Green Shoes Corp.;310 Walker Ave.;Oklahoma
